URL,Name,IMDB_Link,Amtiaz,Number_People,Country,Year,Rade,Num_Seasons,Total_Episodes,Publication,VoiceActors,Review,Tips,End,Description,Characters,InformativeMessages,PositiveAndNegative,SummaryStory,Screening,Critics,Conclusion,Introduction,Total_Words,Num_Titles,Is_Doblele,Total_Target_Words,About_Words,Story_Words,Release_Date_Words,Review_Words,Final_Words,Informative_Words,Positive_Negative_Words,Summary_Words,Screening_Words,Critics_Words,Conclusion_Words,Introduction_Words,Voice_Actor_Words,Series,Animation,Western,Adventure,Comedy,Family,Fantasy,Mystery,Action,Romance,Drama,SciFi,ShortFilm,Crime,Musical,Korean,Thriller,Anime,Music
https://myket.ir/video/v-3R0B99000I/miraculous-tales-of-ladybug-and-cat-noir-christmas-special,انیمیشن ماجراجویی در پاریس ویژه کریسمس,۷.۰,87,"۱۱,۸۵۸",آمریکا ,2016,رده سنی ۱۳+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,2,1,0,39,160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-J0TGJJFI5R/miraculous-world-shanghai-the-legend-of-ladydragon,انیمیشن ماجراجویی در شانگهای: افسانه ی لیدی دراگون,۷.۳,87,"۸,۹۸۹",آمریکا ,2021,رده سنی ۷+,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1438,7,1,0,17,354,179,426,73,0,0,0,0,0,0,0,389,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-0U98XT11FT/miraculous-world-london-at-the-edge-of-time,انیمیشن دختر کفشدوزکی: ماجراجویی در لندن,۸.۳,91,"۲,۹۸۴",آمریکا ,2024,رده سنی ۱۳+,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1243,7,1,3,18,267,105,343,72,0,0,0,0,0,0,0,438,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-8QFAR5M4I6/miraculous-world-new-york-united-heroez,انیمیشن دنیای دختر کفشدوزکی: نیویورک - قهرمانان متحد,۷.۴,87,"۱۶,۲۰۵",بریتانیا ,2020,رده سنی ۷+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,2,1,0,38,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-I8G9FX5FEJ/miraculous-world-paris-tales-of-shadybug-and-claw-noir,انیمیشن دنیای معجزه آسا: داستان های شادی باگ و گربه پنجه سیاه در پاریس,۹.۳,92,"۹,۲۸۲",,2023,رده سنی ۳+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2,1,0,47,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-UG0AS2V9AI/shangri-la-frontier,انیمیشن لشکر شنگری-لا,۷.۵,94,۹۲,ژاپن ,2023,رده سنی ۱۳+,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,2,0,0,29,38,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-P829CF5FDJ/dew-drop-diaries,انیمیشن خاطرات قطره شبنم,۸.۵,91,۷۵,آمریکا ,2023,رده سنی ۳+,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,2,1,0,31,58,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-89UEXE8S21/the-venture-bros-radiant-is-the-blood-of-the-baboon-heart,انیمیشن برادران ونچر: قلب درخشان بابون,۷.۹,25,۱۲۴,آمریکا ,2023,رده سنی ۱۸+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,1,0,41,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-7PB53WWJB5/kaina-of-the-great-snow-sea,انیمیشن کاینا از دریای برفی بزرگ,۶.۶,95,۲۲,ژاپن ,2023,رده سنی ۱۳+,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2,0,0,36,30,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-PO23C08CAL/chef-jack-the-adventurous-cook,انیمیشن سرآشپز جک ماجراجو,۶.۸,84,۱۲۶,برزیل ,2023,رده سنی ۱۳+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,2,1,0,33,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
